fecha,pais,pais_code,sector,sector_code,exportaciones,importaciones,balance,moneda_original,exportaciones_orig,importaciones_orig
2013-01,Reino Unido,GB,Alimentos y animales vivos,0,1666666666.6666667,3666666666.6666665,-1999999999.9999998,GBP,1666666666.6666667,3666666666.6666665
2013-02,Reino Unido,GB,Alimentos y animales vivos,0,1666666666.6666667,3666666666.6666665,-1999999999.9999998,GBP,1666666666.6666667,3666666666.6666665
2013-03,Reino Unido,GB,Alimentos y animales vivos,0,1833333333.3333335,4033333333.3333335,-2200000000.0,GBP,1833333333.3333335,4033333333.3333335
2013-04,Reino Unido,GB,Alimentos y animales vivos,0,1833333333.3333335,4033333333.3333335,-2200000000.0,GBP,1833333333.3333335,4033333333.3333335
2013-05,Reino Unido,GB,Alimentos y animales vivos,0,1666666666.6666667,3666666666.6666665,-1999999999.9999998,GBP,1666666666.6666667,3666666666.6666665
2013-06,Reino Unido,GB,Alimentos y animales vivos,0,1666666666.6666667,3666666666.6666665,-1999999999.9999998,GBP,1666666666.6666667,3666666666.6666665
2013-07,Reino Unido,GB,Alimentos y animales vivos,0,1666666666.6666667,3666666666.6666665,-1999999999.9999998,GBP,1666666666.6666667,3666666666.6666665
2013-08,Reino Unido,GB,Alimentos y animales vivos,0,1666666666.6666667,3666666666.6666665,-1999999999.9999998,GBP,1666666666.6666667,3666666666.6666665
2013-09,Reino Unido,GB,Alimentos y animales vivos,0,1833333333.3333335,4033333333.3333335,-2200000000.0,GBP,1833333333.3333335,4033333333.3333335
2013-10,Reino Unido,GB,Alimentos y animales vivos,0,1833333333.3333335,4033333333.3333335,-2200000000.0,GBP,1833333333.3333335,4033333333.3333335
2013-11,Reino Unido,GB,Alimentos y animales vivos,0,1833333333.3333335,4033333333.3333335,-2200000000.0,GBP,1833333333.3333335,4033333333.3333335
2013-12,Reino Unido,GB,Alimentos y animales vivos,0,1666666666.6666667,3666666666.6666665,-1999999999.9999998,GBP,1666666666.6666667,3666666666.6666665
2014-01,Reino Unido,GB,Alimentos y animales vivos,0,1708333333.3333335,3758333333.3333335,-2050000000.0,GBP,1708333333.3333335,3758333333.3333335
2014-02,Reino Unido,GB,Alimentos y animales vivos,0,1708333333.3333335,3758333333.3333335,-2050000000.0,GBP,1708333333.3333335,3758333333.3333335
2014-03,Reino Unido,GB,Alimentos y animales vivos,0,1879166666.666667,4134166666.666667,-2255000000.0,GBP,1879166666.666667,4134166666.666667
2014-04,Reino Unido,GB,Alimentos y animales vivos,0,1879166666.666667,4134166666.666667,-2255000000.0,GBP,1879166666.666667,4134166666.666667
2014-05,Reino Unido,GB,Alimentos y animales vivos,0,1708333333.3333335,3758333333.3333335,-2050000000.0,GBP,1708333333.3333335,3758333333.3333335
2014-06,Reino Unido,GB,Alimentos y animales vivos,0,1708333333.3333335,3758333333.3333335,-2050000000.0,GBP,1708333333.3333335,3758333333.3333335
2014-07,Reino Unido,GB,Alimentos y animales vivos,0,1708333333.3333335,3758333333.3333335,-2050000000.0,GBP,1708333333.3333335,3758333333.3333335
2014-08,Reino Unido,GB,Alimentos y animales vivos,0,1708333333.3333335,3758333333.3333335,-2050000000.0,GBP,1708333333.3333335,3758333333.3333335
2014-09,Reino Unido,GB,Alimentos y animales vivos,0,1879166666.666667,4134166666.666667,-2255000000.0,GBP,1879166666.666667,4134166666.666667
2014-10,Reino Unido,GB,Alimentos y animales vivos,0,1879166666.666667,4134166666.666667,-2255000000.0,GBP,1879166666.666667,4134166666.666667
2014-11,Reino Unido,GB,Alimentos y animales vivos,0,1879166666.666667,4134166666.666667,-2255000000.0,GBP,1879166666.666667,4134166666.666667
2014-12,Reino Unido,GB,Alimentos y animales vivos,0,1708333333.3333335,3758333333.3333335,-2050000000.0,GBP,1708333333.3333335,3758333333.3333335
2015-01,Reino Unido,GB,Alimentos y animales vivos,0,1749999999.9999998,3849999999.9999995,-2099999999.9999998,GBP,1749999999.9999998,3849999999.9999995
2015-02,Reino Unido,GB,Alimentos y animales vivos,0,1749999999.9999998,3849999999.9999995,-2099999999.9999998,GBP,1749999999.9999998,3849999999.9999995
